WELCOME 1 515072    RTT: 194718 ns
WELCOME 1 1419264    RTT: 175926 ns
WELCOME 1 453632    RTT: 168440 ns
WELCOME 1 1930240    RTT: 181194 ns
WELCOME 1 1888256    RTT: 153677 ns
WELCOME 1 1887232    RTT: 155703 ns
WELCOME 1 588800    RTT: 195641 ns
WELCOME 1 1233920    RTT: 155756 ns
WELCOME 1 1207296    RTT: 160127 ns
WELCOME 1 1918976    RTT: 190125 ns
WELCOME 1 1550336    RTT: 165078 ns
WELCOME 1 347136    RTT: 221740 ns
WELCOME 1 1072128    RTT: 205783 ns
WELCOME 1 333824    RTT: 145497 ns
WELCOME 1 320512    RTT: 148902 ns
WELCOME 1 1848320    RTT: 229147 ns
WELCOME 1 1447936    RTT: 183774 ns
WELCOME 1 1885184    RTT: 170155 ns
WELCOME 1 1589248    RTT: 209608 ns
WELCOME 1 1687552    RTT: 167806 ns
WELCOME 1 1131520    RTT: 608695 ns
WELCOME 1 1331200    RTT: 183682 ns
WELCOME 1 692224    RTT: 288055 ns
WELCOME 1 851968    RTT: 175326 ns
WELCOME 1 1321984    RTT: 1941094 ns
WELCOME 1 650240    RTT: 146443 ns
WELCOME 1 1206272    RTT: 137416 ns
WELCOME 1 914432    RTT: 192245 ns
WELCOME 1 1405952    RTT: 160653 ns
WELCOME 1 1188864    RTT: 156186 ns
WELCOME 1 1864704    RTT: 331662 ns
WELCOME 1 1799168    RTT: 180810 ns
WELCOME 2 1319936    RTT: 1066149 ns
WELCOME 2 940032    RTT: 319336 ns
WELCOME 2 991232    RTT: 176645 ns
WELCOME 2 2037760    RTT: 307152 ns
WELCOME 2 1625088    RTT: 198293 ns
WELCOME 2 675840    RTT: 304200 ns
WELCOME 2 1242112    RTT: 168614 ns
WELCOME 2 413696    RTT: 1246347 ns
WELCOME 2 1992704    RTT: 155308 ns
WELCOME 2 1432576    RTT: 160257 ns
WELCOME 2 488448    RTT: 193975 ns
WELCOME 2 821248    RTT: 165590 ns
WELCOME 2 959488    RTT: 3115391 ns
WELCOME 2 1708032    RTT: 9748382 ns
