WELCOME 1 613376    RTT: 176838 ns
WELCOME 2 1761280    RTT: 577397 ns
WELCOME 2 640000    RTT: 288929 ns
WELCOME 2 549888    RTT: 187076 ns
WELCOME 2 611328    RTT: 173789 ns
WELCOME 2 1257472    RTT: 144973 ns
WELCOME 2 709632    RTT: 168256 ns
WELCOME 2 1671168    RTT: 166547 ns
WELCOME 2 1496064    RTT: 124736 ns
WELCOME 2 975872    RTT: 1065942 ns
WELCOME 2 1251328    RTT: 292328 ns
WELCOME 2 1333248    RTT: 207258 ns
WELCOME 2 1968128    RTT: 183521 ns
WELCOME 2 343040    RTT: 166818 ns
WELCOME 2 1408000    RTT: 10373017 ns
WELCOME 2 1533952    RTT: 398408 ns
WELCOME 2 607232    RTT: 292014 ns
WELCOME 2 1188864    RTT: 165342 ns
WELCOME 2 744448    RTT: 168646 ns
WELCOME 2 1233920    RTT: 172447 ns
WELCOME 2 1485824    RTT: 3170956 ns
WELCOME 2 1676288    RTT: 290609 ns
WELCOME 2 816128    RTT: 177244 ns
WELCOME 2 1146880    RTT: 189395 ns
WELCOME 2 447488    RTT: 149671 ns
WELCOME 2 1999872    RTT: 165423 ns
WELCOME 2 1871872    RTT: 153184 ns
WELCOME 2 1831936    RTT: 150937 ns
WELCOME 2 1889280    RTT: 162290 ns
WELCOME 2 1379328    RTT: 161963 ns
WELCOME 2 1431552    RTT: 110141 ns
WELCOME 2 614400    RTT: 161391 ns
WELCOME 2 586752    RTT: 154115 ns
WELCOME 2 1086464    RTT: 544554 ns
WELCOME 2 1456128    RTT: 786487 ns
WELCOME 2 771072    RTT: 158709 ns
WELCOME 2 1434624    RTT: 290964 ns
WELCOME 2 580608    RTT: 171052 ns
WELCOME 2 1436672    RTT: 309711 ns
WELCOME 2 1108992    RTT: 168297 ns
WELCOME 2 333824    RTT: 304442 ns
WELCOME 2 1796096    RTT: 173539 ns
WELCOME 2 565248    RTT: 287768 ns
WELCOME 2 813056    RTT: 181019 ns
WELCOME 2 567296    RTT: 291253 ns
WELCOME 2 1667072    RTT: 171808 ns
WELCOME 2 1534976    RTT: 291141 ns
WELCOME 2 1868800    RTT: 161948 ns
WELCOME 2 368640    RTT: 4985561 ns
WELCOME 2 1473536    RTT: 385840 ns
WELCOME 2 901120    RTT: 405930 ns
WELCOME 2 2046976    RTT: 377724 ns
WELCOME 2 680960    RTT: 445576 ns
WELCOME 2 1978368    RTT: 394035 ns
WELCOME 2 1020928    RTT: 547403 ns
WELCOME 2 379904    RTT: 377111 ns
WELCOME 2 1513472    RTT: 404550 ns
WELCOME 2 1459200    RTT: 386348 ns
WELCOME 2 1798144    RTT: 410285 ns
WELCOME 2 428032    RTT: 137911 ns
WELCOME 2 1236992    RTT: 140058 ns
WELCOME 2 837632    RTT: 183221 ns
WELCOME 2 2035712    RTT: 4425095 ns
WELCOME 2 828416    RTT: 413826 ns
WELCOME 2 990208    RTT: 414684 ns
WELCOME 2 1729536    RTT: 409155 ns
WELCOME 2 489472    RTT: 413581 ns
WELCOME 2 567296    RTT: 407024 ns
WELCOME 2 1911808    RTT: 446918 ns
WELCOME 2 1376256    RTT: 403643 ns
WELCOME 2 1385472    RTT: 422780 ns
WELCOME 2 1527808    RTT: 378952 ns
WELCOME 2 919552    RTT: 391649 ns
WELCOME 2 1034240    RTT: 370851 ns
WELCOME 2 456704    RTT: 398890 ns
WELCOME 2 613376    RTT: 457110 ns
WELCOME 2 1191936    RTT: 2177335 ns
WELCOME 2 1265664    RTT: 177458 ns
WELCOME 2 1937408    RTT: 173072 ns
WELCOME 2 368640    RTT: 181958 ns
WELCOME 2 659456    RTT: 790802 ns
WELCOME 2 1231872    RTT: 422707 ns
WELCOME 2 1775616    RTT: 425709 ns
WELCOME 2 1590272    RTT: 3414644 ns
WELCOME 2 732160    RTT: 6257852 ns
WELCOME 2 1717248    RTT: 1931836 ns
WELCOME 2 1183744    RTT: 1111100 ns
WELCOME 2 323584    RTT: 177210 ns
WELCOME 2 791552    RTT: 157890 ns
WELCOME 2 984064    RTT: 158744 ns
WELCOME 2 1786880    RTT: 143469 ns
WELCOME 2 1634304    RTT: 122986 ns
WELCOME 2 786432    RTT: 1074307 ns
WELCOME 2 1866752    RTT: 295222 ns
WELCOME 2 333824    RTT: 140248 ns
WELCOME 2 935936    RTT: 157826 ns
WELCOME 2 1686528    RTT: 136870 ns
WELCOME 2 995328    RTT: 133394 ns
WELCOME 2 1788928    RTT: 133851 ns
WELCOME 2 481280    RTT: 143102 ns
WELCOME 2 368640    RTT: 135769 ns
