WELCOME 2 690176    RTT: 364938 ns
WELCOME 2 1252352    RTT: 3148837 ns
WELCOME 2 1995776    RTT: 1736461 ns
WELCOME 2 1836032    RTT: 368187 ns
WELCOME 2 1725440    RTT: 426647 ns
WELCOME 2 605184    RTT: 390913 ns
WELCOME 2 1809408    RTT: 385683 ns
WELCOME 2 1801216    RTT: 372254 ns
WELCOME 2 1204224    RTT: 380631 ns
WELCOME 2 1198080    RTT: 357034 ns
WELCOME 2 1089536    RTT: 371266 ns
WELCOME 2 687104    RTT: 507247 ns
WELCOME 2 1523712    RTT: 375191 ns
WELCOME 2 984064    RTT: 354663 ns
WELCOME 2 368640    RTT: 2246298 ns
WELCOME 2 1141760    RTT: 324319 ns
WELCOME 2 1735680    RTT: 400568 ns
WELCOME 2 1790976    RTT: 356171 ns
WELCOME 2 1902592    RTT: 394079 ns
WELCOME 2 1439744    RTT: 1670915 ns
WELCOME 2 760832    RTT: 386877 ns
WELCOME 2 841728    RTT: 360803 ns
WELCOME 2 631808    RTT: 375306 ns
WELCOME 2 375808    RTT: 361409 ns
WELCOME 2 2006016    RTT: 372074 ns
WELCOME 2 683008    RTT: 1035809 ns
WELCOME 2 547840    RTT: 395228 ns
WELCOME 2 1432576    RTT: 373197 ns
WELCOME 2 678912    RTT: 1767082 ns
WELCOME 2 408576    RTT: 381146 ns
WELCOME 2 1984512    RTT: 339757 ns
WELCOME 2 539648    RTT: 349121 ns
WELCOME 2 1473536    RTT: 367967 ns
WELCOME 2 926720    RTT: 357835 ns
WELCOME 2 487424    RTT: 495968 ns
WELCOME 2 1364992    RTT: 361078 ns
WELCOME 2 1758208    RTT: 368227 ns
WELCOME 2 595968    RTT: 312625 ns
WELCOME 2 312320    RTT: 365887 ns
WELCOME 2 1492992    RTT: 360929 ns
WELCOME 2 2000896    RTT: 375339 ns
WELCOME 2 1372160    RTT: 370902 ns
WELCOME 2 645120    RTT: 5264212 ns
WELCOME 2 1338368    RTT: 392446 ns
WELCOME 2 539648    RTT: 3300399 ns
WELCOME 2 1488896    RTT: 814469 ns
WELCOME 2 1401856    RTT: 372629 ns
WELCOME 2 1140736    RTT: 374051 ns
WELCOME 2 1678336    RTT: 364766 ns
WELCOME 2 1606656    RTT: 381064 ns
WELCOME 2 1909760    RTT: 355715 ns
WELCOME 2 736256    RTT: 3677130 ns
WELCOME 2 755712    RTT: 386001 ns
WELCOME 2 362496    RTT: 391074 ns
WELCOME 2 1484800    RTT: 374455 ns
WELCOME 2 1815552    RTT: 387766 ns
WELCOME 2 1829888    RTT: 2192071 ns
WELCOME 2 1073152    RTT: 365455 ns
WELCOME 2 1065984    RTT: 425033 ns
WELCOME 2 894976    RTT: 422440 ns
WELCOME 2 1815552    RTT: 394749 ns
WELCOME 2 428032    RTT: 1160418 ns
WELCOME 2 1721344    RTT: 3317469 ns
WELCOME 2 344064    RTT: 4983561 ns
WELCOME 2 947200    RTT: 4953800 ns
WELCOME 2 329728    RTT: 9742863 ns
WELCOME 2 836608    RTT: 492657 ns
WELCOME 2 1172480    RTT: 2935250 ns
WELCOME 2 1293312    RTT: 1162791 ns
WELCOME 2 1905664    RTT: 382516 ns
WELCOME 2 1928192    RTT: 353171 ns
WELCOME 2 1406976    RTT: 2286944 ns
WELCOME 2 1925120    RTT: 343695 ns
WELCOME 2 638976    RTT: 359936 ns
WELCOME 2 721920    RTT: 332632 ns
WELCOME 2 431104    RTT: 377912 ns
WELCOME 2 1443840    RTT: 327672 ns
WELCOME 2 1459200    RTT: 357086 ns
WELCOME 2 1153024    RTT: 337993 ns
WELCOME 2 1959936    RTT: 2328901 ns
WELCOME 2 1997824    RTT: 423899 ns
WELCOME 2 2010112    RTT: 345493 ns
WELCOME 2 1693696    RTT: 354575 ns
WELCOME 2 647168    RTT: 356063 ns
WELCOME 2 1551360    RTT: 343712 ns
WELCOME 2 2041856    RTT: 337449 ns
WELCOME 2 1780736    RTT: 345012 ns
WELCOME 2 1143808    RTT: 358793 ns
WELCOME 2 1320960    RTT: 328492 ns
WELCOME 2 1980416    RTT: 352774 ns
WELCOME 2 722944    RTT: 1043088 ns
WELCOME 2 1134592    RTT: 383728 ns
WELCOME 2 1826816    RTT: 336207 ns
WELCOME 2 862208    RTT: 345581 ns
WELCOME 2 361472    RTT: 404284 ns
WELCOME 2 1732608    RTT: 6227788 ns
WELCOME 2 470016    RTT: 731785 ns
WELCOME 2 1355776    RTT: 407150 ns
WELCOME 2 373760    RTT: 334069 ns
WELCOME 2 1885184    RTT: 359028 ns
WELCOME 2 1525760    RTT: 334065 ns
WELCOME 2 1931264    RTT: 346407 ns
WELCOME 2 1034240    RTT: 341113 ns
WELCOME 2 948224    RTT: 531840 ns
WELCOME 2 1044480    RTT: 367532 ns
WELCOME 2 908288    RTT: 3443654 ns
WELCOME 2 1608704    RTT: 410267 ns
WELCOME 2 1885184    RTT: 362291 ns
WELCOME 2 479232    RTT: 340612 ns
WELCOME 2 857088    RTT: 348504 ns
WELCOME 2 773120    RTT: 330185 ns
WELCOME 2 1991680    RTT: 347888 ns
WELCOME 2 1385472    RTT: 333040 ns
WELCOME 2 1335296    RTT: 362650 ns
WELCOME 2 674816    RTT: 338684 ns
WELCOME 2 1339392    RTT: 357436 ns
WELCOME 2 1490944    RTT: 332391 ns
WELCOME 2 1421312    RTT: 390112 ns
WELCOME 2 619520    RTT: 356429 ns
WELCOME 2 1463296    RTT: 365551 ns
WELCOME 2 768000    RTT: 344947 ns
WELCOME 2 1820672    RTT: 366904 ns
WELCOME 2 897024    RTT: 679759 ns
WELCOME 2 1490944    RTT: 385845 ns
WELCOME 2 1024000    RTT: 332040 ns
WELCOME 2 2018304    RTT: 874249 ns
WELCOME 2 1697792    RTT: 337859 ns
WELCOME 2 560128    RTT: 412060 ns
WELCOME 2 1428480    RTT: 335991 ns
WELCOME 2 1649664    RTT: 356581 ns
WELCOME 2 1893376    RTT: 327798 ns
WELCOME 2 1409024    RTT: 345897 ns
WELCOME 2 1353728    RTT: 338941 ns
WELCOME 2 1927168    RTT: 340321 ns
WELCOME 2 1002496    RTT: 337866 ns
WELCOME 2 1317888    RTT: 350915 ns
WELCOME 2 1774592    RTT: 328257 ns
